2024-11-11 00:02:47.451 [main] INFO  com.TripMap.TripMapApplication - Starting TripMapApplication using Java 21 with PID 42048 (C:\Users\15017\Desktop\JAVA\项目想法\TripMap\TrapMap\TripMap\target\classes started by 15017 in C:\Users\15017\Desktop\JAVA\项目想法\TripMap\TrapMap\TripMap)
2024-11-11 00:02:47.511 [main] DEBUG com.TripMap.TripMapApplication - Running with Spring Boot v3.3.4, Spring v6.1.13
2024-11-11 00:02:47.513 [main] INFO  com.TripMap.TripMapApplication - No active profile set, falling back to 1 default profile: "default"
2024-11-11 00:02:49.475 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-11-11 00:02:49.478 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-11-11 00:02:49.523 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36 ms. Found 0 MongoDB repository interfaces.
2024-11-11 00:02:50.383 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-11-11 00:02:50.415 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-11-11 00:02:50.416 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-11-11 00:02:50.526 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-11 00:02:50.527 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2909 ms
